Scan;TimeJ;TimeS;PrDM;T090C;T190C;T2-T190C;C0S/m;C1S/m;C2-C1S/m;V0;CStarAt0;CStarTr0;V1;FlECO-AFL;V2;AltM;V3;V4;Sbeox0V;V5;Sbeox1V;V6;Par;Cpar;V7;Spar;Pumps;Latitude;Longitude;DepSM;Sal00;Sal11;Sigma-é00;Sigma-é11;Sbox0Mm/Kg;Sbox1Mm/Kg;OxsolMm/Kg;OxsatMm/Kg;Potemp090C;Potemp190C;SvCM;SvCM1;Dz/dtM;Gpa;Nbin;Flag
154;209.425156;6.387;3.023;23.8982;23.8969;-0.0013;5.012386;5.012298;-0.000092;4.5558;0.5442;87.2810;0.0933;0.0736;0.2392;4.78;2.7185;2.5447;2.5447;3.0662;3.0662;0.1238;4.5520e+01;3.9238e+01;0.0000;1.1600e+02;1;39.93341;-70.88437;3.000;33.6392;33.6395;22.6416;22.6422;218.339;212.251;212.51585;211.99902;23.8976;23.8963;1530.28;1530.28;-0.040;0.026;468;0.0000e+00
950;209.425537;39.548;4.031;23.9122;23.9121;-0.0000;5.014571;5.014698;0.000113;4.5632;0.5375;87.4260;0.0922;0.0672;-0.0193;-0.39;2.6831;2.5440;2.5440;3.0688;3.0688;0.1008;4.1803e+01;3.8130e+01;0.0000;1.0965e+02;1;39.93336;-70.88449;4.000;33.6448;33.6458;22.6418;22.6426;218.067;212.074;212.45767;211.94070;23.9113;23.9113;1530.34;1530.34;0.486;0.269;57;0.0000e+00
1038;209.425583;43.190;5.039;23.9151;23.9149;-0.0001;5.015061;5.015145;0.000081;4.5611;0.5394;87.3844;0.0933;0.0738;0.0259;0.52;2.5788;2.5450;2.5450;3.0703;3.0703;0.1169;3.2975e+01;2.9810e+01;0.0000;1.1066e+02;1;39.93335;-70.88450;5.000;33.6460;33.6467;22.6419;22.6425;218.282;212.669;212.44551;211.92851;23.9140;23.9139;1530.37;1530.37;0.255;0.325;107;0.0000e+00
1199;209.425659;49.920;6.046;23.9238;23.9202;-0.0036;5.016486;5.016079;-0.000428;4.5605;0.5400;87.3725;0.0942;0.0790;0.2792;5.58;2.5052;2.5455;2.5455;3.0715;3.0715;0.1037;2.7677e+01;2.4930e+01;0.0000;1.1098e+02;1;39.93334;-70.88451;6.000;33.6498;33.6495;22.6423;22.6431;218.464;212.572;212.40866;211.89159;23.9225;23.9189;1530.41;1530.40;0.189;0.382;125;0.0000e+00
1272;209.425690;52.959;7.054;23.9308;23.9233;-0.0075;5.017614;5.016589;-0.001019;4.5601;0.5403;87.3655;0.0926;0.0697;0.0656;1.31;2.4527;2.5461;2.5461;3.0756;3.0756;0.1166;2.4547e+01;2.2081e+01;0.0000;1.1118e+02;1;39.93332;-70.88452;7.000;33.6527;33.6506;22.6425;22.6432;218.583;213.069;212.37936;211.86221;23.9293;23.9218;1530.45;1530.43;0.251;0.434;94;0.0000e+00
1375;209.425751;57.237;8.062;23.9837;23.9726;-0.0112;5.026361;5.024945;-0.002146;4.5620;0.5386;87.4029;0.0933;0.0739;0.6170;12.34;2.4264;2.5503;2.5503;3.0828;3.0828;0.1033;2.3047e+01;2.0699e+01;0.0000;1.1137e+02;1;39.93332;-70.88454;8.000;33.6781;33.6759;22.6462;22.6478;218.692;213.565;212.15327;211.63565;23.9821;23.9709;1530.62;1530.59;0.359;0.488;65;0.0000e+00
1444;209.425781;60.126;9.070;24.1485;24.1414;-0.0071;5.053583;5.052588;-0.001198;4.5595;0.5408;87.3540;0.0927;0.0705;1.2522;25.04;2.3854;2.5495;2.5495;3.0830;3.0830;0.1249;2.0950e+01;1.8666e+01;0.0000;1.1224e+02;1;39.93332;-70.88455;9.000;33.7577;33.7557;22.6579;22.6585;218.092;212.803;211.45036;210.93132;24.1466;24.1395;1531.14;1531.12;0.311;0.540;78;0.0000e+00
1520;209.425812;63.279;10.077;24.2585;24.2407;-0.0178;5.074095;5.071288;-0.003552;4.5567;0.5433;87.2989;0.0906;0.0577;2.2139;44.28;2.3634;2.5599;2.5599;3.0988;3.0988;0.1030;1.9928e+01;1.7760e+01;0.0000;1.1221e+02;1;39.93330;-70.88456;10.000;33.8277;33.8202;22.6783;22.6778;218.534;213.792;210.96196;210.44220;24.2564;24.2385;1531.50;1531.45;0.357;0.592;69;0.0000e+00
1580;209.425842;65.808;11.085;24.7911;24.7489;-0.0422;5.177972;5.171603;-0.009526;4.5593;0.5410;87.3494;0.0919;0.0653;1.0086;20.17;2.3232;2.5585;2.5585;3.0950;3.0950;0.1047;1.8147e+01;1.6196e+01;0.0000;1.1204e+02;1;39.93330;-70.88456;11.000;34.1982;34.1827;22.7992;22.8001;215.994;211.091;208.57431;208.05197;24.7887;24.7465;1533.22;1533.10;0.390;0.644;61;0.0000e+00
1664;209.425888;69.285;12.093;24.8942;24.8956;0.0015;5.220964;5.219036;-0.002625;4.5570;0.5431;87.3044;0.0919;0.0652;0.6694;13.39;2.3115;2.5766;2.5767;3.1169;3.1169;0.1569;1.7658e+01;1.5565e+01;0.0000;1.1345e+02;1;39.93330;-70.88458;12.000;34.4387;34.4233;22.9500;22.9379;217.680;212.654;207.88977;207.36809;24.8916;24.8930;1533.75;1533.74;0.256;0.694;92;0.0000e+00
1728;209.425919;71.940;13.101;24.7836;24.7855;0.0019;5.257970;5.257392;-0.001473;4.5324;0.5651;86.8261;0.0939;0.0776;0.6548;13.10;2.2775;2.5936;2.5937;3.1439;3.1439;0.1531;1.6322e+01;1.4540e+01;0.0000;1.1225e+02;1;39.93329;-70.88460;13.000;34.7982;34.7924;23.2551;23.2502;220.584;215.564;207.79326;207.27446;24.7808;24.7827;1533.89;1533.88;0.494;0.742;48;0.0000e+00
1793;209.425949;74.670;14.108;24.3124;24.3742;0.0617;5.234997;5.239364;0.005291;4.5536;0.5461;87.2380;0.0933;0.0739;1.0345;20.69;2.2678;2.6447;2.6448;3.1997;3.1997;0.1531;1.5959e+01;1.4092e+01;0.0000;1.1328e+02;1;39.93328;-70.88460;14.000;34.9925;34.9771;23.5434;23.5133;227.218;221.138;209.18874;208.67537;24.3094;24.3712;1532.96;1533.09;0.294;0.787;87;0.0000e+00
1871;209.425980;77.910;15.116;23.7794;23.7765;-0.0029;5.178998;5.178690;0.000848;4.5524;0.5472;87.2149;0.0939;0.0773;-0.0143;-0.29;2.2625;2.6662;2.6662;3.2401;3.2401;0.1326;1.5763e+01;1.3818e+01;0.0000;1.1407e+02;1;39.93328;-70.88462;15.000;34.9873;34.9873;23.6978;23.6987;231.141;226.665;211.09061;210.58304;23.7762;23.7733;1531.65;1531.65;0.409;0.830;58;0.0000e+00
1928;209.426010;80.301;16.124;22.9140;22.9545;0.0405;5.073912;5.076362;0.007962;4.5424;0.5561;87.0219;0.0965;0.0931;0.5986;11.97;2.2441;2.7175;2.7176;3.3100;3.3101;0.1539;1.5108e+01;1.3267e+01;0.0000;1.1387e+02;1;39.93326;-70.88462;16.000;34.8656;34.8523;23.8557;23.8340;242.157;236.544;214.43851;213.94418;22.9107;22.9512;1529.34;1529.43;0.420;0.872;59;0.0000e+00
1981;209.426041;82.505;17.132;21.7436;21.7970;0.0535;4.961490;4.966027;0.006803;4.5216;0.5747;86.6168;0.1001;0.1145;1.0001;20.00;2.2199;2.7579;2.7579;3.3532;3.3532;0.1534;1.4282e+01;1.2566e+01;0.0000;1.1368e+02;1;39.93326;-70.88462;17.000;34.9275;34.9201;24.2342;24.2139;250.459;243.884;218.75084;218.28004;21.7402;21.7937;1526.39;1526.52;0.415;0.910;57;0.0000e+00
2056;209.426071;85.641;18.140;20.9741;21.1245;0.1504;4.878847;4.895453;0.017786;4.5087;0.5863;86.3670;0.1030;0.1318;0.3650;7.30;2.2127;2.7820;2.7821;3.3942;3.3942;0.1536;1.4045e+01;1.2256e+01;0.0000;1.1460e+02;1;39.93325;-70.88464;18.000;34.8957;34.9056;24.4227;24.3891;257.004;250.303;221.77264;221.32016;20.9707;21.1210;1524.33;1524.74;0.352;0.947;68;0.0000e+00
2107;209.426102;87.757;19.147;20.2866;20.3441;0.0575;4.788973;4.795223;0.009753;4.4987;0.5953;86.1720;0.1060;0.1502;1.1551;23.10;2.1829;2.8126;2.8127;3.4353;3.4354;0.1537;1.3114e+01;1.1483e+01;0.0000;1.1427e+02;1;39.93324;-70.88465;19.000;34.7322;34.7358;24.4822;24.4696;263.603;257.682;224.77037;224.33688;20.2830;20.3405;1522.28;1522.44;0.435;0.982;56;0.0000e+00
