cast,Kd_obs,I0,R2_PAR_Depth,BeamAttm,R2_Kd_BeamAtt,Kd_mdl,Kd
1,0.220301722510402,428.480894182295,0.996403185286768,0.4612,0.997536652642781,0.185374533408848,0.220301722510402
2,NaN,NaN,NaN,0.172911111111111,0.997536652642781,0.145832050752913,0.145832050752913
3,NaN,NaN,NaN,0.138475,0.997536652642781,0.141108700742452,0.141108700742452
4,NaN,NaN,NaN,0.0957,0.997536652642781,0.13524156620901,0.13524156620901
5,0.135680310553283,31.3944760967911,0.995878969749001,0.109471428571429,0.997536652642781,0.137130492547906,0.135680310553283
6,0.135409126885016,173.373200079736,0.995875927621755,0.13604,0.997536652642781,0.140774709565621,0.135409126885016
7,0.108404162870039,176.924024160124,0.985536699134333,0.0566333333333333,0.997536652642781,0.129883076691617,0.108404162870039
8,NaN,NaN,NaN,0.1245375,0.997536652642781,0.139196995597862,0.139196995597862
9,NaN,NaN,NaN,0.1172,0.997536652642781,0.138190564279589,0.138190564279589
10,0.132721532853422,304.648249898372,0.987080003471604,0.1099,0.997536652642781,0.137189276562602,0.132721532853422
11,NaN,NaN,NaN,NaN,0.997536652642781,NaN,NaN
12,NaN,NaN,NaN,0.1072,0.997536652642781,0.136818937270017,0.136818937270017
13,NaN,NaN,NaN,0.09855,0.997536652642781,0.135632479906738,0.135632479906738
14,NaN,NaN,NaN,0.0952,0.997536652642781,0.135172984858531,0.135172984858531
15,NaN,NaN,NaN,0.3317,0.997536652642781,0.167611963634897,0.167611963634897
16,NaN,NaN,NaN,0.6311375,0.997536652642781,0.208683619902754,0.208683619902754
17,NaN,NaN,NaN,1.95051428571429,0.997536652642781,0.389652903411489,0.389652903411489
18,0.185686177958835,278.02941736668,0.997219468721446,NaN,0.997536652642781,NaN,0.185686177958835
19,0.1823710000657,706.755750914328,0.99178259942802,0.2987,0.997536652642781,0.163085594503312,0.1823710000657
20,0.143844467439168,155.916068027301,0.993765622055595,0.302766666666667,0.997536652642781,0.163643389487204,0.143844467439168
21,NaN,NaN,NaN,0.9379,0.997536652642781,0.250759992955122,0.250759992955122
22,NaN,NaN,NaN,0.423966666666667,0.997536652642781,0.180267508843211,0.180267508843211
23,1.22344703685434,46.6158893931772,0.860540229107734,8.04142222222222,0.997536652642781,1.22509828726426,1.22344703685434
