cast,Kd_obs,I0,R2_PAR_Depth,BeamAttm,R2_Kd_BeamAtt,Kd_mdl,Kd
1,0.279297766696862,312.085259314581,0.994009469012577,1.1245,0.807527056334835,0.283210811557179,0.279297766696862
2,NaN,NaN,NaN,0.661457142857143,0.807527056334835,0.106085834057669,0.106085834057669
3,NaN,NaN,NaN,0.7604,0.807527056334835,0.143933845477828,0.143933845477828
4,NaN,NaN,NaN,0.7558375,0.807527056334835,0.142188580007525,0.142188580007525
5,0.199568366967706,677.848606230934,0.991939148173304,0.7332,0.807527056334835,0.133529194345286,0.199568366967706
6,0.089314410652683,91.1178926248126,0.954569020018947,0.726944444444444,0.807527056334835,0.131136294595441,0.089314410652683
7,NaN,NaN,NaN,0.7337375,0.807527056334835,0.133734800962335,0.133734800962335
9,NaN,NaN,NaN,0.588025,0.807527056334835,0.0779962815450394,0.0779962815450394
10,0.0818280967162272,72.2425024268709,0.949364047309982,0.65775,0.807527056334835,0.104667763170644,0.0818280967162272
11,0.0966157530819282,870.311232550995,0.988813689080594,0.6027,0.807527056334835,0.0836098203454088,0.0966157530819282
12,0.0928834545140771,1444.59015398658,0.991372620800423,0.609557142857143,0.807527056334835,0.0862328416393268,0.0928834545140771
13,NaN,NaN,NaN,0.687055555555556,0.807527056334835,0.115877839707441,0.115877839707441
14,NaN,NaN,NaN,0.6007,0.807527056334835,0.082844772468016,0.082844772468016
15,0.0702517766161375,48.7915129315315,0.919437008144673,0.6125375,0.807527056334835,0.0873728995923344,0.0702517766161375
16,NaN,NaN,NaN,0.839225,0.807527056334835,0.17408629494557,0.17408629494557
17,NaN,NaN,NaN,0.65965,0.807527056334835,0.105394558654168,0.105394558654168
18,NaN,NaN,NaN,0.6521875,0.807527056334835,0.102539973761646,0.102539973761646
19,NaN,NaN,NaN,0.6214,0.807527056334835,0.0907630179990311,0.0907630179990311
20,NaN,NaN,NaN,1.166,0.807527056334835,0.299085555013079,0.299085555013079
